settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
 1,32.392999, 0.206221,7, 7, 60, 17,14,28,28,11, 17,27,10,13,24 
 2,32.503315, 0.415174,6, 24, 52, 3,45,41,35,18, 8,13,37,8,7 
 3,32.549332, 0.424786,5, 17, 58, 17,23,26,28,19, 7,23,23,25,13 
 4,32.411434, 0.268314,10, 27, 62, 6,25,10,13,17, 12,19,7,7,9 
 5,32.599067, 0.467198,8, 13, 59, 6,24,29,15,19, 13,21,21,15,13 
 6,32.593329, 0.351229,13, 25, 53, 26,49,56,19,20, 10,11,33,38,3 
 7,32.537143, 0.326596,8, 13, 51, 7,13,26,25,21, 14,20,7,8,2 
 8,32.398367, 0.234362,11, 16, 65, 10,33,44,26,16, 10,23,20,3,23 
 9,32.586193, 0.245405,10, 18, 69, 3,13,13,16,19, 10,12,10,9,9 
 10,32.561547, 0.547914,8, 11, 54, 7,24,12,25,20, 17,24,23,2,18 
 11,32.502461, 0.407017,11, 17, 70, 4,35,37,26,12, 13,25,6,24,8 
 12,32.366804, 0.404668,9, 15, 61, 14,12,33,21,10, 12,27,8,13,1 
 13,32.404356, 0.360539,10, 12, 56, 4,9,23,12,15, 10,21,9,7,3 
 14,32.402096, 0.183114,13, 26, 60, 28,17,42,23,20, 16,19,11,40,19 
 15,32.567811, 0.533493,5, 27, 52, 13,22,41,23,12, 6,13,13,11,11 
 16,32.404086, 0.469560,12, 23, 57, 22,19,26,22,16, 14,21,12,21,10 
 17,32.461746, 0.569454,7, 35, 63, 4,21,38,38,12, 6,25,17,36,20 
 18,32.422576, 0.237183,11, 13, 60, 15,31,25,30,17, 11,27,2,19,13 
 19,32.490778, 0.553474,7, 15, 61, 2,7,19,12,16, 5,23,1,6,2 
 20,32.388640, 0.534385,10, 11, 54, 15,45,38,31,22, 7,23,32,8,2 
