settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
 1,32.537161, 0.611555,10, 20, 57, 6,9,20,9,11, 16,12,5,4,2 
 2,32.356910, 0.426142,11, 29, 56, 20,34,53,44,15, 11,21,2,38,33 
 3,32.549289, 0.320941,10, 22, 69, 9,10,25,9,10, 11,19,5,2,3 
 4,32.445329, 0.410767,6, 9, 70, 28,10,12,12,21, 13,16,6,8,1 
 5,32.594059, 0.378025,7, 35, 56, 27,17,18,32,21, 6,12,12,2,7 
 6,32.388785, 0.282352,8, 22, 53, 2,23,23,18,13, 16,15,21,9,8 
 7,32.381523, 0.545416,8, 7, 70, 16,15,20,23,14, 19,20,6,15,8 
 8,32.506869, 0.467306,8, 23, 66, 15,27,20,41,17, 11,21,5,14,24 
 9,32.488409, 0.633811,6, 25, 58, 23,12,13,13,19, 5,10,6,9,11 
 10,32.598208, 0.345365,8, 26, 60, 10,13,17,7,17, 11,14,13,1,1 
 11,32.548862, 0.631338,12, 15, 53, 5,8,16,9,23, 19,23,5,2,1 
 12,32.566466, 0.281756,5, 25, 54, 21,57,29,50,17, 19,14,2,2,38 
 13,32.466909, 0.379704,9, 14, 67, 3,23,21,31,22, 15,8,4,1,5 
 14,32.583909, 0.511079,5, 22, 53, 9,30,32,21,20, 6,27,23,7,9 
 15,32.485252, 0.492404,6, 16, 51, 8,27,45,21,21, 9,10,9,33,21 
 16,32.536948, 0.238982,6, 30, 51, 18,14,23,16,13, 7,7,13,16,12 
 17,32.563919, 0.382431,9, 33, 62, 19,19,16,10,19, 18,20,14,16,5 
 18,32.436219, 0.359359,10, 28, 67, 20,32,26,30,15, 7,14,23,15,17 
 19,32.597625, 0.535057,13, 36, 51, 15,25,35,24,17, 9,23,21,18,11 
 20,32.486095, 0.457445,10, 32, 53, 4,35,24,58,22, 5,22,31,19,2 
