settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
 1,32.561360, 0.548099,7, 26, 67, 26,18,20,47,19, 9,20,18,2,18 
 2,32.550930, 0.610351,6, 18, 50, 21,9,7,10,12, 14,23,7,7,7 
 3,32.474513, 0.568799,11, 18, 68, 26,20,31,26,20, 12,7,14,8,20 
 4,32.526515, 0.415997,6, 21, 59, 7,25,36,23,10, 16,8,24,25,13 
 5,32.479470, 0.479768,10, 21, 54, 2,16,9,18,19, 6,22,2,7,12 
 6,32.605454, 0.341618,8, 10, 68, 6,15,7,8,19, 7,22,13,7,1 
 7,32.437193, 0.434236,8, 7, 60, 5,65,51,52,18, 10,8,40,35,52 
 8,32.602651, 0.505129,11, 11, 70, 9,25,21,43,13, 11,23,14,13,6 
 9,32.353972, 0.360898,9, 31, 60, 10,28,36,20,21, 15,7,22,10,4 
 10,32.486887, 0.575066,7, 17, 58, 13,12,34,13,17, 15,22,7,26,7 
 11,32.516543, 0.244258,7, 26, 56, 7,49,29,21,23, 17,8,6,19,5 
 12,32.406524, 0.423426,13, 14, 67, 25,8,7,9,20, 13,21,3,3,8 
 13,32.389080, 0.298469,9, 11, 62, 15,23,18,17,19, 19,15,14,7,4 
 14,32.382031, 0.432348,12, 30, 63, 17,24,21,17,16, 15,21,21,6,13 
 15,32.506842, 0.431571,8, 26, 66, 16,41,40,21,19, 18,15,6,3,15 
 16,32.427132, 0.554406,12, 21, 59, 18,8,11,13,13, 11,23,4,2,13 
 17,32.445590, 0.497286,8, 27, 52, 22,50,34,36,15, 5,16,40,29,3 
 18,32.531194, 0.312562,7, 9, 70, 10,10,6,5,19, 12,12,2,4,4 
 19,32.437922, 0.147155,9, 31, 53, 17,14,22,23,10, 19,23,8,1,15 
 20,32.504843, 0.543063,11, 21, 66, 23,19,18,17,15, 8,13,15,16,16 
