settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
1,32.377791,0.354301,5,34,52,18,11,14,12,17,10,28,11,6,9
2,32.48037,0.524946,10,32,50,16,27,54,45,23,8,20,6,26,13
3,32.593452,0.430522,10,26,62,23,17,21,21,10,10,24,8,11,7
4,32.356831,0.401093,5,28,62,18,27,60,38,21,8,16,23,47,13
5,32.480425,0.334799,6,23,63,2,31,22,38,16,7,19,12,22,33
6,32.556829,0.334374,8,10,64,5,8,8,8,13,11,26,4,2,1
7,32.520009,0.413948,10,10,59,16,25,28,15,11,19,22,1,3,11
8,32.483287,0.655195,7,18,51,11,23,11,23,14,12,12,1,8,14
9,32.422042,0.505151,13,25,70,12,14,9,14,17,7,26,11,5,3
10,32.388516,0.344568,11,27,53,19,12,16,13,17,14,14,9,1,1
11,32.441861,0.388675,5,7,56,12,14,18,16,12,12,23,6,15,4
12,32.508668,0.371576,12,17,62,3,35,41,30,17,19,7,30,29,23
13,32.473436,0.608085,9,20,52,27,57,43,54,13,8,14,30,7,18
14,32.508268,0.548773,7,22,66,26,38,30,34,22,13,17,37,27,24
15,32.349945,0.336815,13,35,58,9,25,22,18,11,7,19,3,19,3
