settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
 1,32.515560, 0.459895,11, 15, 69, 20,24,36,24,16, 9,19,10,14,11 
 2,32.415081, 0.351825,6, 13, 58, 14,33,19,14,19, 19,8,6,5,5 
 3,32.456839, 0.628771,10, 20, 62, 24,17,27,21,12, 14,11,8,5,4 
 4,32.449227, 0.138320,8, 19, 56, 26,9,9,9,15, 16,12,8,1,2 
 5,32.499627, 0.386828,11, 6, 63, 15,8,23,8,15, 12,22,8,7,4 
 6,32.385588, 0.339095,12, 31, 67, 18,14,15,18,10, 16,12,8,2,12 
 7,32.408519, 0.408478,7, 9, 59, 21,47,50,37,11, 6,26,45,26,9 
 8,32.379845, 0.420015,10, 10, 70, 14,35,27,24,23, 15,15,20,10,4 
 9,32.536527, 0.260994,7, 20, 56, 16,31,52,56,12, 17,9,18,6,43 
 10,32.396265, 0.315460,5, 32, 63, 18,35,32,27,15, 9,9,28,17,2 
 11,32.471260, 0.561688,12, 34, 68, 20,47,51,45,23, 13,10,47,27,34 
 12,32.401285, 0.613604,12, 6, 59, 28,11,9,12,20, 8,26,2,7,2 
 13,32.515023, 0.254361,11, 32, 54, 4,49,51,32,13, 5,10,39,35,4 
 14,32.609398, 0.331648,5, 10, 59, 19,33,49,33,11, 17,9,9,15,18 
 15,32.358157, 0.443860,6, 11, 59, 25,49,19,51,18, 16,28,42,10,19 
