settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
1,32.412267,0.454698,13,36,56,10,7,13,14,16,15,22,5,12,10
2,32.350777,0.382433,7,16,52,26,20,22,15,22,15,22,15,18,6
3,32.385801,0.470823,13,16,66,21,37,25,36,10,8,13,6,5,15
4,32.398128,0.532404,12,14,62,25,16,9,7,15,7,18,6,8,1
5,32.491246,0.405308,12,13,67,21,21,14,28,14,13,27,2,3,23
6,32.413264,0.575238,11,24,52,25,47,71,34,12,8,9,45,17,5
7,32.546293,0.237561,10,31,67,7,30,12,29,13,11,26,29,3,22
8,32.448662,0.502215,8,6,56,26,16,16,16,16,19,26,16,14,6
9,32.458069,0.369594,6,22,66,20,17,17,9,23,8,22,1,11,1
10,32.499136,0.505982,5,26,50,13,32,14,24,12,14,8,15,7,5
