settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
 1,32.538279, 0.404056,13, 6, 64, 28,40,35,22,23, 12,17,7,22,2 
 2,32.431784, 0.614264,5, 31, 69, 3,29,30,21,13, 13,16,4,15,4 
 3,32.425313, 0.537967,13, 25, 61, 6,16,6,6,15, 11,26,12,5,3 
 4,32.517634, 0.298868,8, 34, 52, 16,32,23,24,19, 16,10,8,6,23 
 5,32.389353, 0.589497,8, 22, 63, 9,13,18,13,10, 5,19,12,17,10 
 6,32.447055, 0.635398,12, 29, 61, 20,14,10,8,17, 15,12,5,4,7 
 7,32.473470, 0.566102,10, 15, 68, 14,57,42,34,13, 16,15,38,3,6 
 8,32.448161, 0.509539,13, 11, 60, 8,31,22,26,10, 10,19,25,20,4 
 9,32.529150, 0.342700,9, 25, 54, 19,21,33,31,18, 6,7,17,2,10 
 10,32.483577, 0.318798,13, 21, 69, 11,36,45,48,19, 6,13,21,32,36 
 11,32.421217, 0.620680,12, 14, 51, 17,13,15,8,13, 12,19,3,2,5 
 12,32.487141, 0.489676,7, 21, 66, 4,33,43,30,10, 9,22,20,19,23 
 13,32.464873, 0.495979,10, 9, 51, 28,27,14,16,23, 13,24,12,4,4 
 14,32.408642, 0.224069,6, 34, 70, 21,34,43,23,11, 12,21,2,26,13 
 15,32.522718, 0.187331,8, 20, 62, 23,14,10,18,19, 16,15,6,10,14 
