settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
1,32.551849,0.39143,7,10,62,9,52,26,57,17,16,23,35,11,46
2,32.466627,0.592174,13,18,66,8,33,69,29,13,15,28,4,43,1
3,32.469342,0.594826,10,24,57,6,14,39,28,21,14,27,7,12,16
4,32.46585,0.166441,9,10,53,18,14,19,10,16,8,24,12,12,4
5,32.525217,0.266417,10,32,50,20,24,29,18,16,5,27,15,1,8
6,32.575637,0.234147,8,28,69,21,59,55,32,13,5,26,11,48,25
7,32.489028,0.409526,7,18,61,9,17,33,46,23,18,26,10,15,20
8,32.502333,0.55701,8,27,54,26,21,19,30,10,12,17,1,12,7
9,32.437734,0.419783,9,30,52,9,63,30,38,17,6,24,15,6,2
10,32.563241,0.442929,8,21,64,2,32,20,13,15,12,12,1,13,6
