settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
1,32.392999,0.206221,2,13,50,2,7,28,28,10,15,12,10,13,24
2,32.503315,0.415174,11,43,82,29,45,41,35,25,28,28,37,18,7
3,32.549332,0.424786,3,15,51,12,23,26,28,5,4,9,23,25,13
4,32.411434,0.268314,2,14,53,6,25,10,13,3,13,13,7,7,9
5,32.599067,0.467198,4,19,57,6,24,29,15,16,18,16,21,15,13
6,32.593329,0.351229,5,12,53,7,39,56,19,2,11,11,33,38,3
7,32.537143,0.326596,15,49,92,26,13,26,25,22,26,30,7,8,2
8,32.398367,0.234362,3,20,56,10,33,44,26,3,9,8,20,3,23
9,32.586193,0.245405,2,18,53,3,13,13,16,6,12,13,10,9,9
10,32.561547,0.547914,14,46,87,23,35,37,25,26,27,30,23,2,18
11,32.502461,0.407017,4,17,54,4,24,12,26,10,13,17,6,24,8
12,32.366804,0.404668,6,15,51,7,12,33,21,3,13,14,8,13,1
13,32.404356,0.360539,2,14,56,4,9,23,12,7,12,13,9,7,3
14,32.402096,0.183114,4,20,64,11,27,42,38,11,19,20,11,33,19
15,32.567811,0.533493,2,19,52,9,22,35,23,6,12,11,13,11,11
16,32.404086,0.46956,13,52,90,28,19,26,22,23,26,30,12,21,10
17,32.461746,0.569454,3,22,49,4,21,38,23,4,12,13,17,36,20
18,32.422576,0.237183,12,48,89,29,41,44,32,25,28,30,22,19,13
19,32.490778,0.553474,2,19,40,3,14,19,12,5,9,10,1,6,2
20,32.38864,0.534385,5,25,42,13,35,25,29,9,13,12,32,8,2
