settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
 1,32.472161, 0.198286,9, 25, 66, 28,10,14,22,18, 7,17,4,7,6 
 2,32.455889, 0.358127,9, 21, 59, 7,33,32,37,23, 5,17,11,10,18 
 3,32.378508, 0.501285,8, 26, 50, 17,26,26,19,16, 9,18,5,17,4 
 4,32.468852, 0.567553,5, 28, 54, 10,12,21,7,20, 9,28,12,18,7 
 5,32.468437, 0.422268,12, 15, 69, 24,27,24,41,11, 13,9,27,20,25 
 6,32.431820, 0.474719,6, 9, 54, 7,42,42,48,20, 9,28,34,6,45 
 7,32.369990, 0.347094,12, 34, 51, 6,47,36,32,15, 17,9,14,30,10 
 8,32.404826, 0.350871,5, 15, 52, 18,12,17,11,13, 11,15,7,14,4 
 9,32.428951, 0.207594,11, 23, 69, 12,27,41,29,23, 18,28,1,3,8 
 10,32.472583, 0.334250,12, 18, 56, 27,32,34,29,20, 7,16,14,14,9 
