settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
 1,32.446639, 0.613690,13, 36, 50, 19,18,30,15,15, 18,28,7,24,13 
 2,32.482883, 0.510038,8, 18, 58, 8,21,16,16,20, 8,8,7,4,16 
 3,32.426005, 0.197916,12, 16, 59, 9,38,21,27,11, 8,8,38,10,3 
 4,32.572586, 0.572174,11, 10, 70, 25,37,35,22,19, 8,15,9,12,20 
 5,32.410979, 0.292607,8, 18, 70, 24,36,33,44,15, 5,24,26,23,43 
 6,32.509835, 0.510439,9, 29, 55, 2,13,11,14,16, 12,17,8,11,8 
 7,32.384733, 0.469508,11, 19, 69, 7,42,39,38,15, 7,27,28,26,16 
 8,32.477975, 0.242166,7, 28, 54, 3,10,11,14,14, 15,25,4,8,14 
 9,32.539900, 0.570977,8, 16, 56, 18,44,38,17,23, 12,17,26,11,4 
 10,32.490385, 0.467758,9, 33, 51, 4,8,24,10,12, 13,25,4,4,2 
