settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
 1,32.393026, 0.312295,13, 6, 55, 22,57,56,62,23, 13,19,18,44,48 
 2,32.503042, 0.552374,10, 26, 53, 28,18,19,9,16, 11,19,4,10,3 
 3,32.455173, 0.530133,5, 24, 62, 14,21,17,15,13, 15,8,2,8,9 
 4,32.567402, 0.467911,10, 20, 65, 7,26,37,49,10, 11,14,13,22,41 
 5,32.518519, 0.396976,8, 8, 51, 18,45,51,49,17, 11,12,30,11,42 
 6,32.469536, 0.654085,12, 10, 52, 19,16,11,14,13, 10,8,12,10,10 
 7,32.597246, 0.509205,7, 27, 64, 12,16,22,31,10, 14,12,3,21,2 
 8,32.370655, 0.386776,7, 13, 62, 21,22,16,18,21, 10,16,21,1,18 
 9,32.470516, 0.483023,10, 17, 50, 21,19,13,11,11, 17,28,11,13,5 
 10,32.503357, 0.350651,7, 30, 67, 7,5,14,8,20, 10,12,5,6,8 
