settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
 1,32.604577, 0.485553,5, 9, 52, 28,8,18,10,23, 19,16,8,18,8 
 2,32.579246, 0.408718,12, 13, 57, 9,48,40,48,18, 8,12,33,12,12 
 3,32.523601, 0.327321,5, 8, 53, 19,47,50,39,14, 15,12,47,20,38 
 4,32.430682, 0.530434,8, 9, 59, 16,16,27,16,15, 18,27,8,1,9 
 5,32.509359, 0.215547,10, 26, 67, 3,36,37,36,14, 7,19,4,12,29 
 6,32.550752, 0.488319,12, 15, 68, 15,21,10,12,18, 16,27,12,2,1 
 7,32.592380, 0.544214,7, 16, 61, 24,27,37,17,10, 16,11,14,36,13 
 8,32.593228, 0.422733,10, 18, 50, 27,27,32,29,12, 19,20,13,19,18 
 9,32.464662, 0.139341,6, 21, 67, 8,31,46,18,13, 16,21,29,6,16 
 10,32.550489, 0.502525,7, 36, 53, 27,18,55,38,23, 18,12,6,7,24 
 11,32.432609, 0.192713,6, 11, 50, 25,8,21,10,17, 17,14,5,2,8 
 12,32.461374, 0.205359,10, 25, 69, 19,33,41,37,21, 13,14,1,4,12 
 13,32.412903, 0.413570,11, 27, 66, 28,68,24,36,11, 19,10,18,23,15 
 14,32.487699, 0.538292,7, 15, 70, 3,54,52,20,17, 8,10,11,13,5 
 15,32.372562, 0.309291,12, 28, 53, 10,25,59,43,23, 14,11,3,46,13 
 16,32.382821, 0.569095,7, 29, 62, 11,33,65,35,20, 13,25,25,36,25 
 17,32.545649, 0.452986,8, 17, 50, 27,15,17,17,22, 18,8,9,14,12 
 18,32.424073, 0.186205,11, 19, 56, 24,24,45,42,15, 13,16,18,30,5 
 19,32.481682, 0.588115,8, 16, 69, 7,11,8,11,18, 19,13,10,6,5 
 20,32.569991, 0.240444,12, 23, 66, 21,19,25,21,22, 18,21,17,11,18 
