settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
1,32.519726,0.516145,8,22,61,3,50,61,49,20,5,24,28,11,39
2,32.522758,0.249072,9,19,63,12,14,10,20,14,8,19,12,1,10
3,32.379265,0.417346,5,22,50,28,15,23,11,21,15,12,7,18,10
4,32.534279,0.378926,13,25,50,22,35,33,33,23,12,26,29,27,9
5,32.517078,0.448118,10,8,55,26,31,43,21,22,10,13,29,39,20
6,32.60648,0.357448,12,36,56,18,32,48,29,17,5,26,2,35,7
7,32.561705,0.433631,13,33,50,11,18,51,45,20,6,15,5,47,19
8,32.362918,0.473704,7,26,69,25,29,24,21,23,5,18,28,22,20
9,32.442631,0.194417,10,26,51,12,11,7,13,22,14,26,2,1,5
10,32.51974,0.236843,7,18,63,8,40,36,35,23,18,20,22,10,13
11,32.552667,0.629438,11,7,55,11,11,13,16,12,11,12,7,6,16
12,32.409663,0.396104,13,21,66,3,19,14,30,11,18,22,9,11,9
13,32.435039,0.549601,5,31,67,10,17,8,14,15,16,27,1,4,5
14,32.403376,0.612292,8,26,55,5,24,28,23,12,5,19,1,7,7
15,32.417503,0.559129,10,30,68,16,22,31,24,18,19,28,2,27,2
16,32.56712,0.5925,11,10,66,14,28,37,24,19,11,20,21,30,13
17,32.443674,0.594103,7,32,66,5,34,31,37,16,8,7,9,25,12
18,32.481207,0.39902,13,21,57,20,50,56,28,14,14,26,46,43,25
19,32.414936,0.23691,7,13,66,6,22,23,31,20,12,11,19,23,13
20,32.463992,0.129454,10,19,50,13,12,26,29,14,9,12,10,22,13
