settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
 1,32.545823, 0.251208,6, 32, 53, 16,45,28,30,12, 9,7,9,21,25 
 2,32.440078, 0.526837,8, 36, 68, 4,51,37,24,15, 12,7,4,5,6 
 3,32.405018, 0.237893,6, 14, 68, 15,24,61,21,21, 18,10,7,27,2 
 4,32.416664, 0.474832,9, 34, 60, 23,17,33,26,19, 18,20,5,26,26 
 5,32.482465, 0.617420,13, 14, 55, 23,26,44,47,22, 18,10,4,44,25 
 6,32.582254, 0.303177,12, 29, 50, 23,48,43,56,17, 11,19,44,3,20 
 7,32.466921, 0.455270,9, 16, 59, 21,16,17,13,18, 9,26,15,9,7 
 8,32.440946, 0.347077,6, 27, 50, 3,34,45,22,16, 8,11,1,12,11 
 9,32.411846, 0.492190,11, 6, 52, 6,17,12,11,20, 8,7,13,5,5 
 10,32.529277, 0.238890,12, 9, 66, 25,41,49,30,20, 12,27,11,20,21 
 11,32.570311, 0.582156,8, 22, 51, 24,34,38,36,21, 18,19,21,19,29 
 12,32.440270, 0.641250,5, 8, 50, 13,25,26,32,18, 7,28,21,12,25 
 13,32.529424, 0.332868,7, 11, 53, 9,26,30,28,19, 17,22,18,24,27 
 14,32.360776, 0.499129,8, 19, 67, 10,19,51,36,20, 11,27,9,24,31 
 15,32.600471, 0.288852,6, 18, 58, 20,7,14,11,21, 19,12,5,5,11 
