settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
 1,32.513786, 0.257168,8, 15, 70, 19,47,27,38,18, 9,27,33,23,35 
 2,32.504856, 0.169582,11, 8, 53, 5,50,47,46,16, 6,7,50,41,42 
 3,32.486516, 0.224647,9, 20, 64, 11,43,24,23,12, 18,17,13,22,23 
 4,32.457082, 0.348364,10, 19, 61, 20,12,12,15,14, 6,20,3,2,7 
 5,32.534294, 0.335743,9, 13, 64, 28,22,25,15,19, 6,20,22,23,6 
 6,32.514408, 0.649880,13, 28, 69, 6,46,47,29,13, 6,18,32,36,18 
 7,32.479028, 0.517162,8, 14, 68, 4,23,25,25,22, 14,22,5,16,2 
 8,32.419902, 0.390270,5, 11, 63, 4,13,25,15,18, 18,20,7,11,13 
 9,32.458479, 0.500836,5, 26, 56, 6,49,65,44,21, 12,12,15,22,34 
 10,32.409792, 0.282757,9, 36, 66, 5,10,17,10,23, 14,25,3,3,2 
