settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
 1,32.395700, 0.451576,5, 35, 65, 21,22,32,27,21, 17,23,6,7,9 
 2,32.537469, 0.572188,13, 22, 57, 9,28,22,26,12, 9,14,9,6,21 
 3,32.506946, 0.301612,9, 23, 56, 26,20,26,34,18, 18,16,3,5,16 
 4,32.474567, 0.396938,10, 27, 57, 23,36,42,22,23, 6,13,18,30,14 
 5,32.492063, 0.146785,6, 10, 66, 21,15,15,21,15, 13,19,12,9,12 
 6,32.444256, 0.537642,8, 26, 65, 14,20,16,9,20, 14,27,13,7,6 
 7,32.522988, 0.150332,7, 14, 70, 19,11,15,23,11, 9,19,3,8,11 
 8,32.448396, 0.351056,5, 10, 58, 4,14,21,12,10, 8,27,5,19,12 
 9,32.550303, 0.612602,5, 33, 59, 7,17,14,16,19, 11,15,13,2,1 
 10,32.579825, 0.241719,8, 24, 64, 15,23,22,23,18, 15,18,1,14,2 
 11,32.405126, 0.575668,5, 26, 60, 16,12,31,15,19, 6,14,5,2,6 
 12,32.448413, 0.631747,13, 8, 51, 3,47,25,65,14, 12,7,28,10,54 
 13,32.441038, 0.564768,8, 14, 52, 22,39,51,32,23, 7,11,24,25,15 
 14,32.549023, 0.171808,13, 13, 51, 27,50,42,40,17, 7,24,2,14,29 
 15,32.429340, 0.532291,8, 25, 68, 8,65,34,57,20, 5,24,40,25,44 
