settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
 1,32.461993, 0.141826,7, 26, 67, 27,11,7,6,18, 10,27,8,5,2 
 2,32.555606, 0.198150,13, 17, 57, 15,31,47,19,18, 7,10,19,42,5 
 3,32.467596, 0.642298,10, 17, 50, 6,23,30,22,19, 12,18,16,6,18 
 4,32.549709, 0.309459,9, 21, 51, 27,16,19,21,23, 14,26,11,8,18 
 5,32.493029, 0.673072,9, 19, 66, 27,17,13,27,13, 13,27,12,9,27 
 6,32.400753, 0.222361,12, 20, 55, 12,8,11,13,19, 13,7,4,6,6 
 7,32.419148, 0.524711,8, 20, 67, 9,33,22,19,18, 11,28,9,17,8 
 8,32.374661, 0.245511,13, 8, 54, 19,38,42,15,16, 8,9,38,2,1 
 9,32.411557, 0.493152,12, 36, 63, 3,10,21,9,18, 14,7,9,1,7 
 10,32.475451, 0.317729,10, 20, 58, 2,16,12,19,13, 6,23,8,9,5 
