settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
 1,32.501522, 0.161686,6, 19, 58, 7,10,15,12,19, 15,24,4,5,8 
 2,32.508196, 0.511081,10, 21, 61, 22,36,43,38,12, 10,11,19,32,3 
 3,32.429207, 0.573299,8, 27, 51, 11,29,23,12,23, 11,28,29,4,10 
 4,32.475897, 0.509656,10, 30, 70, 3,56,58,29,13, 6,20,13,48,21 
 5,32.564914, 0.453169,7, 28, 50, 28,6,13,7,21, 16,14,5,11,4 
 6,32.533234, 0.545437,7, 30, 50, 10,17,10,12,11, 17,19,14,1,10 
 7,32.408776, 0.207781,8, 28, 58, 19,10,17,12,11, 17,11,10,10,11 
 8,32.438500, 0.621422,7, 20, 51, 24,20,9,20,11, 18,25,1,1,7 
 9,32.364392, 0.526678,6, 22, 60, 5,27,25,19,19, 19,18,9,8,19 
 10,32.467959, 0.532444,13, 26, 56, 18,36,31,29,21, 13,19,1,17,11 
 11,32.393159, 0.233239,10, 22, 63, 12,32,21,17,10, 10,13,17,11,10 
 12,32.409541, 0.483362,8, 12, 56, 6,32,36,25,20, 9,19,3,11,23 
 13,32.559754, 0.418632,10, 15, 53, 18,17,20,33,12, 6,23,6,18,12 
 14,32.593021, 0.516310,10, 29, 58, 20,25,49,36,14, 7,28,2,41,25 
 15,32.453117, 0.556361,13, 20, 69, 25,27,36,30,15, 15,14,26,23,11 
 16,32.538526, 0.273263,9, 35, 50, 19,51,36,49,21, 5,12,23,18,46 
 17,32.451250, 0.202153,8, 11, 53, 23,40,35,25,17, 16,13,1,15,18 
 18,32.496833, 0.148492,13, 6, 57, 23,19,42,43,14, 15,18,13,30,18 
 19,32.478391, 0.304174,12, 12, 68, 19,27,28,52,10, 19,25,27,9,9 
 20,32.378381, 0.221185,13, 32, 58, 4,16,27,38,19, 9,9,8,14,15 
