settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
 1,32.577669, 0.533421,7, 21, 63, 27,7,11,11,21, 19,25,3,5,2 
 2,32.529715, 0.465884,7, 21, 58, 13,11,18,13,23, 5,27,5,18,4 
 3,32.577507, 0.535542,6, 29, 52, 15,26,11,17,23, 11,27,15,5,3 
 4,32.445033, 0.291377,12, 15, 60, 6,18,19,29,21, 12,26,9,5,27 
 5,32.407317, 0.244197,5, 18, 50, 22,16,13,8,19, 17,25,8,9,8 
 6,32.378533, 0.498057,5, 14, 50, 15,55,46,25,19, 19,25,17,30,19 
 7,32.509789, 0.246576,8, 21, 58, 5,48,55,46,11, 17,11,47,37,11 
 8,32.544063, 0.233764,10, 34, 64, 3,59,46,27,17, 14,9,43,3,8 
 9,32.416199, 0.470480,11, 18, 57, 6,50,54,25,15, 11,22,4,52,23 
 10,32.400130, 0.453564,9, 19, 69, 4,34,14,25,17, 7,10,8,8,10 
 11,32.560624, 0.551397,10, 25, 67, 7,56,65,39,18, 15,18,5,2,25 
 12,32.475312, 0.164557,8, 19, 51, 14,41,43,27,17, 8,24,21,28,15 
 13,32.416763, 0.645113,9, 23, 68, 26,27,30,43,22, 13,21,25,23,2 
 14,32.367209, 0.336692,8, 36, 60, 23,7,7,9,19, 7,16,5,2,1 
 15,32.576930, 0.500482,11, 12, 62, 5,34,45,24,21, 17,15,30,24,23 
 16,32.605844, 0.414401,13, 18, 68, 23,37,48,32,21, 9,19,4,27,25 
 17,32.525080, 0.323385,6, 36, 66, 26,30,18,14,22, 10,13,16,12,2 
 18,32.464913, 0.446246,10, 33, 68, 25,29,28,29,14, 9,24,9,7,15 
 19,32.362674, 0.394743,8, 36, 64, 24,45,50,52,19, 6,28,36,37,29 
 20,32.571906, 0.377469,12, 19, 58, 5,19,38,52,22, 16,9,17,4,32 
