settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
 1,32.466415, 0.632861,6, 17, 57, 8,19,43,20,15, 8,10,18,41,6 
 2,32.528263, 0.549036,7, 23, 51, 8,13,14,10,18, 9,12,13,3,5 
 3,32.421255, 0.177113,6, 28, 59, 26,46,20,38,13, 5,11,27,14,21 
 4,32.430241, 0.204289,8, 33, 59, 9,18,29,29,14, 17,23,2,28,29 
 5,32.484918, 0.255644,10, 17, 62, 13,16,26,22,22, 12,17,16,5,1 
 6,32.403241, 0.600588,11, 19, 70, 28,28,31,13,11, 12,14,20,22,2 
 7,32.392422, 0.308327,8, 21, 64, 8,38,49,27,21, 11,27,25,19,3 
 8,32.442884, 0.344775,5, 22, 69, 27,16,18,31,12, 16,22,12,17,10 
 9,32.556996, 0.320394,11, 28, 55, 3,14,26,11,12, 6,28,2,20,7 
 10,32.523040, 0.482769,12, 36, 69, 22,6,9,8,20, 7,16,4,5,6 
 11,32.426373, 0.625866,6, 18, 62, 19,37,59,23,18, 19,12,33,48,12 
 12,32.353090, 0.340914,8, 8, 52, 16,31,18,19,19, 17,8,11,14,13 
 13,32.406986, 0.308418,12, 24, 65, 21,19,12,27,19, 5,8,6,6,12 
 14,32.470910, 0.308322,9, 18, 52, 27,34,30,20,21, 19,16,12,1,15 
 15,32.488019, 0.534191,10, 24, 65, 28,32,23,25,21, 8,13,26,3,21 
 16,32.600794, 0.292652,8, 11, 57, 3,38,36,50,23, 5,23,18,29,43 
 17,32.575520, 0.516382,12, 16, 56, 13,11,15,15,23, 13,28,8,13,13 
 18,32.555575, 0.519930,13, 32, 53, 25,27,46,35,10, 9,16,12,21,10 
 19,32.370985, 0.319976,13, 17, 53, 14,57,38,29,23, 8,9,6,9,2 
 20,32.541385, 0.337282,10, 20, 54, 24,25,12,21,17, 7,28,15,4,17 
