settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
 1,32.568204, 0.204259,9, 33, 67, 14,8,14,11,16, 18,17,2,2,2 
 2,32.361870, 0.453216,8, 33, 66, 28,24,14,17,21, 15,11,12,3,15 
 3,32.433882, 0.268419,9, 17, 58, 6,10,13,15,18, 19,23,3,8,10 
 4,32.530933, 0.477356,12, 15, 62, 12,22,16,33,15, 18,23,22,3,25 
 5,32.433440, 0.506051,7, 13, 52, 25,26,28,19,10, 6,20,12,1,14 
 6,32.398688, 0.552005,9, 11, 65, 19,53,67,42,20, 9,13,48,30,9 
 7,32.475509, 0.630478,13, 6, 70, 23,15,19,13,10, 8,22,10,8,1 
 8,32.554939, 0.563878,10, 14, 61, 9,11,24,26,18, 16,26,9,1,24 
 9,32.394338, 0.573938,9, 20, 52, 25,11,11,15,10, 6,7,9,1,1 
 10,32.353396, 0.486618,5, 13, 70, 6,20,28,14,10, 8,14,1,2,7 
