settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
1,32.576721,0.288764,9,27,51,12,22,17,17,21,10,28,4,7,15
2,32.573771,0.240151,6,29,62,24,29,48,33,18,6,21,15,35,28
3,32.504018,0.665034,9,22,57,25,10,14,18,19,13,7,5,12,15
4,32.368036,0.272562,9,12,54,11,9,23,15,20,16,23,2,17,1
5,32.467267,0.152404,13,35,60,21,11,18,11,23,11,15,2,6,11
6,32.427215,0.582338,9,16,62,20,30,13,30,15,8,14,24,9,19
7,32.384183,0.407501,5,24,69,14,19,52,41,10,10,16,3,38,32
8,32.438636,0.340179,10,8,65,28,24,13,13,16,13,24,4,10,2
9,32.6142,0.381799,13,27,60,23,27,21,28,11,7,27,14,10,23
10,32.510748,0.370806,7,6,62,26,48,44,25,23,19,11,4,16,1
11,32.485881,0.565706,13,34,53,19,32,28,26,11,6,7,3,25,20
12,32.540819,0.438402,8,9,56,7,9,15,10,22,19,24,2,11,5
13,32.543736,0.435711,8,26,62,26,30,52,38,21,6,18,2,23,29
14,32.352007,0.439572,6,18,50,11,15,9,12,21,7,20,8,7,6
15,32.604615,0.337479,6,17,53,7,23,29,16,21,12,12,12,13,2
16,32.531559,0.211015,9,27,70,12,53,74,25,11,7,26,24,48,17
17,32.451611,0.514542,8,6,52,15,42,21,42,16,5,20,14,2,30
18,32.541684,0.229915,9,36,53,22,14,27,13,19,17,10,5,5,5
19,32.436557,0.55199,11,8,66,11,21,28,15,10,18,15,13,20,7
20,32.589441,0.351446,8,27,62,13,16,21,15,11,13,10,4,18,4
