settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
 1,32.517390, 0.486782,11, 13, 63, 20,50,24,32,10, 16,12,21,7,13 
 2,32.530169, 0.306226,12, 28, 64, 26,21,19,11,17, 13,7,11,5,6 
 3,32.550773, 0.489689,7, 23, 55, 25,10,19,8,20, 16,27,2,4,1 
 4,32.447638, 0.610693,9, 32, 62, 28,19,18,14,21, 7,21,8,16,2 
 5,32.387953, 0.260101,7, 24, 58, 14,30,36,18,20, 9,11,4,12,13 
 6,32.561132, 0.460779,11, 31, 67, 3,31,19,30,10, 15,8,13,19,27 
 7,32.541391, 0.205125,9, 33, 55, 4,9,14,7,22, 10,17,2,12,6 
 8,32.365124, 0.522258,11, 15, 64, 12,14,10,21,14, 7,25,12,3,18 
 9,32.459133, 0.456047,7, 9, 50, 18,24,34,29,18, 5,22,20,4,11 
 10,32.546582, 0.309106,6, 12, 66, 3,36,50,49,21, 12,16,35,46,49 
 11,32.488367, 0.546358,11, 17, 57, 24,6,14,9,22, 8,26,6,14,2 
 12,32.555062, 0.602173,10, 34, 57, 28,58,26,42,23, 16,19,49,8,1 
 13,32.489580, 0.553295,10, 8, 62, 17,17,33,26,23, 7,7,10,29,2 
 14,32.440647, 0.508031,5, 31, 64, 10,17,12,24,13, 14,23,5,4,16 
 15,32.440026, 0.531753,13, 24, 56, 27,37,26,44,18, 10,12,2,2,42 
