settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
 1,32.568563, 0.293096,12, 26, 65, 7,14,27,30,13, 10,20,2,8,3 
 2,32.522007, 0.616785,6, 36, 50, 19,10,11,5,13, 10,13,6,6,5 
 3,32.377278, 0.279927,6, 7, 68, 14,13,23,17,22, 17,10,11,14,15 
 4,32.471157, 0.557055,5, 31, 62, 5,15,14,13,20, 9,10,13,11,13 
 5,32.375599, 0.263889,12, 7, 60, 5,19,14,20,10, 14,16,6,5,10 
 6,32.560300, 0.221373,13, 29, 50, 9,23,9,16,19, 15,13,14,4,5 
 7,32.408494, 0.459743,9, 14, 61, 8,37,43,15,11, 16,8,16,14,4 
 8,32.461862, 0.442857,13, 17, 56, 3,34,66,50,19, 7,10,14,41,31 
 9,32.520828, 0.449897,8, 12, 55, 6,8,8,6,11, 18,11,1,4,4 
 10,32.491830, 0.320114,13, 24, 52, 18,16,39,33,14, 19,24,1,25,30 
