settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
1,32.517026,0.395682,6,35,60,21,53,61,36,10,19,13,33,42,27
2,32.591563,0.276018,6,26,56,21,43,62,28,11,13,28,34,9,27
3,32.560171,0.623192,8,31,63,20,23,19,17,21,19,18,12,16,3
4,32.591717,0.271453,13,23,57,4,22,16,14,21,15,21,16,12,3
5,32.496045,0.247501,12,13,50,16,17,12,9,15,16,15,2,7,8
6,32.52856,0.342053,11,29,61,16,26,20,26,22,14,8,12,15,23
7,32.41152,0.226523,13,11,52,27,25,44,33,19,11,17,2,4,13
8,32.432471,0.460393,8,13,55,27,31,19,35,17,7,12,16,17,21
9,32.584098,0.569831,9,30,60,23,41,27,42,16,13,8,29,1,42
10,32.481436,0.388132,13,25,55,4,23,26,19,16,15,23,19,4,2
