settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
 1,32.559013, 0.532968,8, 19, 57, 19,23,15,16,17, 5,16,2,7,13 
 2,32.597713, 0.390099,10, 9, 50, 8,13,9,8,20, 5,28,9,1,2 
 3,32.426636, 0.362731,5, 17, 70, 10,13,12,12,10, 16,20,6,2,4 
 4,32.523576, 0.569020,7, 25, 50, 5,7,20,17,18, 18,8,2,4,17 
 5,32.573001, 0.302507,12, 10, 56, 21,27,11,16,22, 9,12,2,11,3 
 6,32.374718, 0.495265,6, 14, 68, 5,11,9,12,21, 12,18,7,9,10 
 7,32.501909, 0.163131,5, 29, 57, 14,41,33,29,22, 7,26,4,23,20 
 8,32.455590, 0.619182,10, 30, 59, 25,34,18,39,13, 17,8,14,14,7 
 9,32.388611, 0.588853,9, 13, 53, 4,22,32,48,16, 11,23,15,5,23 
 10,32.519608, 0.433889,10, 35, 55, 5,15,15,10,22, 16,18,11,11,2 
