settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
 1,32.374350, 0.397940,13, 12, 70, 14,16,39,27,13, 9,15,16,13,10 
 2,32.506505, 0.434345,13, 16, 68, 11,32,33,25,22, 7,10,17,23,7 
 3,32.554810, 0.238406,10, 13, 56, 26,19,34,20,20, 10,7,10,14,6 
 4,32.481276, 0.612051,6, 33, 66, 4,35,27,39,15, 14,19,14,23,2 
 5,32.393409, 0.444130,10, 26, 60, 22,37,42,31,13, 18,26,15,34,19 
 6,32.390489, 0.339294,13, 28, 62, 3,22,21,19,21, 14,15,18,6,18 
 7,32.498831, 0.179241,8, 32, 54, 7,16,16,12,18, 19,26,14,5,4 
 8,32.464874, 0.529003,13, 15, 66, 14,22,40,13,22, 8,19,1,29,6 
 9,32.530205, 0.394091,6, 31, 67, 4,36,32,31,12, 13,16,9,15,14 
 10,32.494944, 0.324416,6, 16, 69, 10,38,38,25,19, 13,13,20,3,16 
 11,32.561133, 0.510947,11, 17, 70, 25,13,15,25,23, 15,19,8,13,3 
 12,32.565134, 0.281439,10, 13, 69, 21,40,62,41,18, 14,18,10,39,33 
 13,32.521776, 0.166087,7, 20, 64, 22,45,20,54,18, 15,17,26,5,18 
 14,32.508384, 0.486489,6, 17, 53, 27,30,39,23,17, 10,21,10,18,23 
 15,32.474715, 0.565726,13, 22, 58, 11,5,5,5,16, 15,27,3,1,4 
 16,32.489373, 0.244028,13, 16, 66, 9,48,50,24,19, 7,8,5,9,17 
 17,32.373718, 0.565099,13, 28, 51, 18,23,20,14,10, 17,24,6,8,3 
 18,32.423724, 0.162356,9, 17, 66, 8,9,13,8,10, 13,28,8,11,1 
 19,32.545438, 0.605228,13, 15, 64, 14,44,36,21,14, 7,13,6,9,5 
 20,32.594728, 0.302568,9, 20, 50, 26,28,27,18,17, 5,22,19,14,15 
