settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
 1,32.545345, 0.171976,5, 11, 69, 15,20,20,11,17, 15,21,5,9,7 
 2,32.396595, 0.599054,7, 33, 64, 18,50,48,22,19, 17,20,11,2,14 
 3,32.603023, 0.485652,9, 22, 65, 17,19,18,14,13, 16,14,15,13,12 
 4,32.454287, 0.444904,8, 7, 63, 19,27,29,24,12, 19,8,16,17,1 
 5,32.364366, 0.377821,13, 22, 61, 12,53,35,31,14, 6,27,40,4,11 
 6,32.535462, 0.468371,8, 22, 54, 16,28,22,33,21, 8,14,9,10,7 
 7,32.460820, 0.416926,5, 15, 66, 21,45,74,26,15, 15,14,39,5,8 
 8,32.482051, 0.412323,10, 11, 50, 17,29,29,27,10, 5,10,18,19,9 
 9,32.447685, 0.147156,11, 27, 67, 13,11,6,13,18, 11,25,3,3,6 
 10,32.450483, 0.532735,10, 16, 58, 5,11,19,18,14, 14,7,5,12,3 
