settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
 1,32.517576, 0.421534,11, 15, 64, 17,9,16,6,15, 5,20,5,3,3 
 2,32.560997, 0.249251,8, 10, 61, 3,29,31,25,21, 5,28,28,27,19 
 3,32.535765, 0.459407,9, 27, 54, 12,14,8,14,18, 6,26,5,7,2 
 4,32.425893, 0.360589,9, 12, 66, 17,18,19,16,11, 19,9,3,7,7 
 5,32.347946, 0.440921,5, 26, 58, 28,15,16,7,10, 6,22,15,13,7 
 6,32.503752, 0.461419,10, 22, 67, 18,16,32,18,23, 5,8,1,5,2 
 7,32.446468, 0.458350,7, 25, 58, 27,23,32,26,12, 15,20,4,5,17 
 8,32.404512, 0.396460,12, 35, 57, 6,25,49,39,21, 13,8,7,28,8 
 9,32.391845, 0.442826,7, 6, 70, 24,39,40,18,13, 17,20,32,24,5 
 10,32.379874, 0.429799,7, 31, 69, 23,12,10,16,11, 11,24,10,7,13 
 11,32.536772, 0.273565,11, 11, 56, 15,21,21,14,10, 14,24,2,10,12 
 12,32.387944, 0.324098,11, 34, 59, 13,20,10,12,11, 12,19,15,9,5 
 13,32.516092, 0.180902,7, 32, 53, 9,19,43,33,21, 9,9,12,25,16 
 14,32.440680, 0.581415,9, 26, 66, 9,23,28,22,14, 15,28,20,24,2 
 15,32.570367, 0.319414,8, 18, 55, 16,11,32,24,17, 13,24,7,24,4 
 16,32.534352, 0.301680,11, 10, 56, 16,18,41,30,16, 7,19,15,11,13 
 17,32.564733, 0.606121,9, 29, 54, 18,35,48,32,23, 17,28,31,5,27 
 18,32.499344, 0.281799,9, 18, 60, 12,10,21,14,18, 18,11,1,20,9 
 19,32.492893, 0.537924,10, 33, 53, 21,9,7,11,14, 16,18,7,7,1 
 20,32.521053, 0.537157,13, 30, 56, 4,43,57,52,18, 10,8,33,29,18 
