settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
 1,32.552594, 0.610706,13, 28, 65, 17,38,20,39,16, 15,20,9,8,3 
 2,32.489525, 0.171395,12, 14, 61, 26,40,44,42,11, 9,13,10,31,9 
 3,32.515650, 0.132653,13, 31, 60, 19,21,19,43,11, 11,28,2,11,7 
 4,32.506728, 0.172838,9, 29, 69, 7,27,42,33,18, 6,18,23,42,33 
 5,32.552220, 0.493474,8, 34, 55, 11,26,10,17,19, 13,28,21,4,1 
 6,32.406489, 0.443434,13, 22, 60, 26,21,39,22,10, 9,18,21,2,16 
 7,32.389983, 0.389437,12, 15, 57, 15,16,18,11,20, 7,14,2,2,7 
 8,32.601329, 0.390788,9, 20, 66, 20,17,24,33,10, 10,22,13,14,4 
 9,32.446374, 0.271378,7, 14, 50, 21,23,14,10,10, 14,10,3,11,3 
 10,32.419949, 0.607936,6, 16, 65, 3,10,7,16,18, 15,15,7,1,3 
