settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
 1,32.451301, 0.481703,9, 8, 62, 12,23,15,21,20, 19,12,3,8,4 
 2,32.602463, 0.339545,7, 8, 62, 17,16,26,15,10, 15,7,10,23,15 
 3,32.439387, 0.457332,11, 13, 69, 21,29,27,35,17, 10,11,8,1,1 
 4,32.453939, 0.600265,9, 22, 70, 10,34,46,41,17, 7,26,19,4,13 
 5,32.386325, 0.383025,12, 18, 54, 5,13,30,17,15, 5,19,6,23,15 
 6,32.402399, 0.580161,12, 34, 65, 20,48,30,56,23, 12,27,17,9,34 
 7,32.481976, 0.222037,5, 23, 64, 19,19,12,13,23, 19,13,8,9,8 
 8,32.418766, 0.174104,13, 22, 63, 23,6,5,10,21, 8,25,2,5,7 
 9,32.436646, 0.212953,13, 18, 50, 9,25,16,16,17, 19,27,2,2,15 
 10,32.569358, 0.463290,7, 10, 56, 25,21,32,17,19, 9,26,2,24,16 
 11,32.470883, 0.245197,7, 7, 61, 27,36,43,19,10, 11,13,33,4,10 
 12,32.589066, 0.494285,10, 19, 50, 21,24,32,37,11, 10,28,1,9,35 
 13,32.520377, 0.271388,13, 10, 61, 18,40,32,36,16, 13,12,16,27,11 
 14,32.472923, 0.528879,7, 29, 57, 4,42,53,28,16, 13,13,31,12,6 
 15,32.537182, 0.612378,8, 23, 53, 8,28,13,22,16, 15,20,20,8,14 
 16,32.458535, 0.382708,13, 13, 57, 6,22,16,19,12, 19,16,2,6,3 
 17,32.402104, 0.248119,6, 6, 66, 26,47,26,21,17, 11,24,46,5,2 
 18,32.511222, 0.262489,8, 31, 61, 18,25,13,34,10, 9,14,7,11,31 
 19,32.540131, 0.254831,12, 7, 67, 4,46,47,20,13, 13,18,31,1,2 
 20,32.366058, 0.265210,7, 20, 67, 22,28,33,19,10, 13,14,2,20,17 
