settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
1,32.425815,0.161374,13,22,58,22,25,20,23,15,14,12,5,1,20
2,32.491201,0.551596,6,7,59,11,24,11,12,11,14,13,9,5,8
3,32.583368,0.487907,6,22,58,15,13,23,9,20,13,10,7,18,6
4,32.512735,0.403741,10,11,68,8,48,32,29,10,19,25,43,15,4
5,32.55436,0.379015,10,24,61,28,9,9,18,17,5,22,6,1,7
6,32.499833,0.382943,11,27,68,23,19,32,20,15,10,8,15,26,19
7,32.524814,0.556976,6,24,61,23,20,26,14,11,15,26,19,19,10
8,32.471652,0.186717,11,7,50,9,25,21,16,12,12,18,16,10,8
9,32.4584,0.273411,5,23,57,19,52,50,31,20,6,10,4,7,20
10,32.420111,0.602367,12,20,69,12,21,63,41,12,12,9,14,48,40
