settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
 1,32.590938, 0.388287,6, 8, 51, 3,18,20,24,19, 19,7,7,7,11 
 2,32.424021, 0.315612,10, 22, 53, 16,15,15,15,17, 8,11,1,9,5 
 3,32.526165, 0.201628,12, 24, 50, 18,51,56,43,16, 19,22,12,39,21 
 4,32.596644, 0.352440,12, 18, 50, 27,18,12,11,18, 18,18,9,7,11 
 5,32.471177, 0.431486,9, 24, 50, 22,19,30,20,18, 8,7,18,6,17 
 6,32.571853, 0.472157,6, 20, 62, 8,29,30,40,20, 16,26,17,12,33 
 7,32.469855, 0.657227,9, 34, 67, 17,37,64,34,14, 6,25,26,34,31 
 8,32.562266, 0.322552,8, 14, 70, 25,55,54,24,14, 13,26,24,39,15 
 9,32.600153, 0.428384,8, 10, 64, 6,17,18,8,17, 18,14,17,12,7 
 10,32.507096, 0.163089,10, 28, 61, 18,28,37,27,13, 10,10,21,5,15 
 11,32.539785, 0.516128,11, 20, 54, 27,21,14,24,19, 5,25,5,12,13 
 12,32.397762, 0.591087,8, 30, 61, 12,40,24,38,10, 18,13,17,17,15 
 13,32.463608, 0.509417,12, 16, 60, 20,26,19,20,18, 8,22,18,16,8 
 14,32.612813, 0.376589,9, 24, 69, 7,21,50,28,23, 7,7,5,6,25 
 15,32.560018, 0.313430,10, 10, 65, 26,17,12,9,18, 19,15,16,10,8 
 16,32.432144, 0.494118,10, 33, 63, 6,9,19,16,15, 10,13,5,19,8 
 17,32.367039, 0.372818,9, 35, 60, 4,16,20,20,12, 8,10,10,10,1 
 18,32.607969, 0.398691,13, 8, 59, 16,6,9,10,16, 17,26,4,2,4 
 19,32.409432, 0.203729,12, 30, 67, 3,11,11,19,22, 8,7,8,9,2 
 20,32.448671, 0.580404,12, 27, 58, 24,24,23,21,16, 9,16,12,5,4 
