settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
 1,32.375622, 0.253130,7, 31, 61, 27,13,13,13,21, 16,18,10,7,10 
 2,32.470964, 0.577178,7, 6, 65, 8,18,26,21,15, 16,17,5,19,18 
 3,32.392813, 0.416882,11, 24, 64, 16,21,24,11,20, 17,23,11,17,11 
 4,32.425446, 0.306092,5, 17, 66, 16,9,26,8,23, 8,8,1,24,1 
 5,32.359864, 0.337241,7, 14, 61, 21,43,42,50,19, 5,10,19,11,41 
 6,32.481615, 0.383322,9, 21, 66, 15,21,25,14,17, 7,8,11,3,8 
 7,32.577832, 0.478411,8, 19, 57, 3,12,14,12,17, 15,10,3,4,10 
 8,32.484708, 0.467311,11, 13, 56, 13,49,21,23,20, 11,26,27,12,21 
 9,32.429737, 0.598767,7, 23, 59, 24,53,47,64,22, 13,14,7,27,8 
 10,32.380321, 0.256764,7, 7, 62, 12,19,11,10,19, 17,28,5,3,7 
 11,32.453383, 0.169915,8, 20, 59, 24,20,29,37,18, 13,16,8,19,25 
 12,32.559320, 0.623963,12, 33, 56, 3,27,14,36,13, 18,7,3,7,6 
 13,32.452420, 0.185227,13, 7, 69, 28,27,28,16,14, 19,14,18,18,14 
 14,32.399158, 0.554622,13, 23, 57, 9,13,25,18,14, 7,16,7,10,15 
 15,32.585779, 0.538080,9, 35, 56, 8,53,34,31,17, 10,24,15,7,8 
 16,32.514240, 0.231340,12, 32, 64, 11,53,23,29,23, 15,12,51,13,12 
 17,32.582421, 0.233951,9, 23, 61, 12,12,21,20,21, 15,23,8,21,4 
 18,32.490741, 0.567779,6, 15, 57, 5,37,31,31,23, 16,13,27,25,20 
 19,32.545524, 0.431045,12, 19, 50, 23,16,37,26,14, 16,16,15,24,16 
 20,32.444636, 0.539060,10, 22, 56, 12,9,16,12,23, 18,23,4,5,4 
