settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
 1,32.506746, 0.318524,11, 28, 64, 24,15,22,11,15, 17,16,10,21,6 
 2,32.444665, 0.182807,9, 29, 54, 17,22,29,14,16, 9,7,21,6,9 
 3,32.501295, 0.349562,10, 25, 65, 6,19,45,15,11, 5,15,1,22,9 
 4,32.486095, 0.503054,11, 9, 61, 15,27,46,58,21, 9,12,3,1,29 
 5,32.492503, 0.490541,12, 32, 65, 5,15,29,17,17, 6,28,13,7,10 
 6,32.372414, 0.366578,9, 30, 55, 24,28,36,16,21, 15,20,6,6,2 
 7,32.438809, 0.517919,11, 24, 66, 19,32,23,31,11, 5,20,18,17,4 
 8,32.531057, 0.599850,6, 21, 63, 19,21,41,25,13, 15,25,4,3,23 
 9,32.513047, 0.363088,13, 21, 59, 20,37,26,42,18, 14,8,20,14,27 
 10,32.542941, 0.492637,10, 21, 56, 6,50,43,27,17, 18,22,13,4,5 
 11,32.589750, 0.379652,9, 23, 53, 20,9,23,18,19, 17,24,9,13,12 
 12,32.483495, 0.502607,6, 33, 61, 15,11,9,10,12, 15,17,6,2,5 
 13,32.413440, 0.457522,5, 6, 69, 4,20,38,26,10, 8,21,20,1,7 
 14,32.591334, 0.516635,12, 33, 64, 7,12,8,13,12, 11,27,7,2,9 
 15,32.545478, 0.579732,10, 35, 59, 27,57,25,35,19, 15,12,28,21,22 
 16,32.518698, 0.264803,8, 13, 69, 7,25,39,18,11, 15,28,22,34,18 
 17,32.364230, 0.376399,6, 18, 52, 26,8,11,11,16, 17,26,8,4,7 
 18,32.579003, 0.305923,5, 17, 63, 28,19,41,25,14, 11,12,9,36,12 
 19,32.369659, 0.379619,8, 33, 59, 21,22,21,10,17, 16,18,11,11,1 
 20,32.421482, 0.324444,10, 33, 55, 10,26,21,28,11, 8,7,12,7,3 
